Tijdstempel,What type of chocolate do you prefer?,What kind of mobile phone do you own?,What is your gender?,What is your nationality?,How did you travel to university today?,What subject are you majoring in?,How often do you check Facebook?,How many pairs of trousers do you own?,What is the most you ever paid for trousers?,What annual income do you expect to be earning in ten years’ time?,What do you think the average income for the class with be in ten years’ time?,What is the ideal age to get married?,When did you start your studies at Fontys?
2-3-2016 14:11:03,asdf,pdf,pdf,ff,f,fads,af,,,,,,sdfasv
2-3-2016 14:11:35,dfasdf,sfdafg,fgasdfasd,,,,,,,,,,
2-3-2016 14:12:38,asdfasd,fads,sofa,,,,,,,,,,
2-3-2016 14:15:18,dsfger,erre,ert,bdsfg,,,,,,,,,
8-9-2016 13:20:59,dark,iPhone,male,Dutch,|Bike, train & bus|,Software Engineering,What is facebook,1,60,infinity,less than infinity,,1111
8-9-2016 13:20:59,milk,Samsung,male,Dutch,Car,Software Engineering,Daily,Plenty,A small loan of a million dollars,A small loan of a million dollars,|Very low, they suck|,,2012
8-9-2016 13:21:01,dark,lg,male,dutch,train,mathematics,50 per day,6,130,100000,40000,,2012
8-9-2016 13:21:05,chocolate,I made my own,male,Dutch,Train,Software,Never,1,50,10000000,40000,,1321
8-9-2016 13:21:06,milk,Android,male,Dutch,Bike,Computer Science,Multiple times per day,8,200,40000,30000,,2012
8-9-2016 13:21:14,white,HTC One M8,male,Dutch,Bycicle,Business Informatics,2 times a day,7,80€,1.000.000€,3€,,|Fall, 2012|
8-9-2016 13:21:15,white,Iphone,female,Dutch,Bicycle,Mathematical Engineering,0,5,,,,,2013
8-9-2016 13:21:20,hazelnut,LG Nexus 5x,man,Dutch,I did not travel to a university,ads-gcd,20 times a day,7,35 euro's,45000,40000,,2013
8-9-2016 13:21:20,brown,iPhone 6,male,Dutch,Train,Software Engineering,A lot,6,100 euro,25.000,25.000,,2013
8-9-2016 13:21:32,puur,motorola,vrouw,Nederlands,trein,,dagelijks,5,100 euro,2500 euro,2800 euro,,2013
8-9-2016 13:21:50,white,Samsung Galaxy Mini S5,male,Dutch,Bus,ICT & Business,Daily,A lot,80 Euro,65.000 Euro,35.000 Euro,,September 2013
8-9-2016 13:21:51,melk,Samsung,man,Nederlands,Bus,Software,5x per dag,15,€200,€4.000,€3.000,,2012-2013
8-9-2016 13:21:56,white,Android ,male,Dutch,Bus,Software Engineering,Not often,7,€50,€50.000,No clue,,February of 2014 
8-9-2016 13:22:04,milk,Samsung,male,NL,Bus,Software Engineering,Never,8,200,50k,50k,,2012
8-9-2016 13:22:11,milk,Samsung galaxy s6,male,Netherlands,Public transport,ICT,daylie,12,40,40000,2,,4 years ago
8-9-2016 13:22:11,dark,Nokia 735,male,Dutch,Bicycle,Media Design,Often,10+,|€150,-|,50000,50000,,2013
8-9-2016 13:22:13,pure,LG,female,Dutch,By car,Mathematical engineering,One time an hour,9,90 euros,Eh no idea,No idea,,2013
8-9-2016 13:22:26,dark,Android,male,Dutch,Car,Software Engineering,2 times,Acht,|$99,99|,￥375000,€50.000,,20
8-9-2016 13:22:53,pure,iphone,male,dutch,public transport,Software,about once a day,10?????????,60,enough,minimun wage,,2012-2013
8-9-2016 13:23:03,pure,Apple,male,Netherlands,by train,Software Engineer,20938 times a day,7,tientje,60.000,60.000,,2013
8-9-2016 13:23:16,white,LG,female,Dutch,Car,Mathematical Engineering,10,9,250,50000,4000,,2013
